"Date","Close"
"2013-12-31","101.20"
"2013-12-30","100.31"
"2013-12-27","101.51"
"2013-12-26","100.90"
"2013-12-24","99.22"
"2013-12-23","98.51"
"2013-12-20","98.68"
"2013-12-19","99.43"
"2013-12-18","99.54"
"2013-12-17","96.75"
"2013-12-16","97.22"
"2013-12-13","95.31"
"2013-12-12","95.36"
"2013-12-11","94.26"
"2013-12-10","95.71"
"2013-12-09","95.84"
"2013-12-06","95.65"
"2013-12-05","94.13"
"2013-12-04","94.67"
"2013-12-03","94.39"
"2013-12-02","93.52"
"2013-11-29","93.48"
"2013-11-27","93.80"
"2013-11-26","94.27"
"2013-11-25","95.09"
"2013-11-22","95.01"
"2013-11-21","94.69"
"2013-11-20","94.68"
"2013-11-19","95.42"
"2013-11-18","95.45"
"2013-11-15","95.27"
"2013-11-14","93.22"
"2013-11-13","92.59"
"2013-11-12","92.67"
"2013-11-11","92.96"
"2013-11-08","92.73"
"2013-11-07","91.96"
"2013-11-06","93.22"
"2013-11-05","91.99"
"2013-11-04","92.10"
"2013-11-01","89.82"
"2013-10-31","89.62"
"2013-10-30","88.81"
"2013-10-29","88.93"
"2013-10-28","88.23"
"2013-10-25","87.97"
"2013-10-24","88.42"
"2013-10-23","87.61"
"2013-10-22","87.98"
"2013-10-21","87.23"
"2013-10-18","87.55"
"2013-10-17","87.48"
"2013-10-16","87.31"
"2013-10-15","86.79"
"2013-10-14","87.60"
"2013-10-11","86.95"
"2013-10-10","86.04"
"2013-10-09","85.16"
"2013-10-08","85.51"
"2013-10-07","85.90"
"2013-10-04","86.32"
"2013-10-03","85.50"
"2013-10-02","86.08"
"2013-10-01","86.00"
"2013-09-30","86.04"
"2013-09-27","86.90"
"2013-09-26","87.07"
"2013-09-25","87.14"
"2013-09-24","87.36"
"2013-09-23","87.75"
"2013-09-20","88.66"
"2013-09-19","89.28"
"2013-09-18","89.58"
"2013-09-17","88.94"
"2013-09-16","88.67"
"2013-09-13","88.40"
"2013-09-12","87.98"
"2013-09-11","88.84"
"2013-09-10","87.82"
"2013-09-09","88.04"
"2013-09-06","87.25"
"2013-09-05","87.35"
"2013-09-04","87.76"
"2013-09-03","87.15"
"2013-08-30","87.16"
"2013-08-29","87.27"
"2013-08-28","88.84"
"2013-08-27","86.82"
"2013-08-26","87.09"
"2013-08-23","87.52"
"2013-08-22","86.98"
"2013-08-21","86.42"
"2013-08-20","86.83"
"2013-08-19","86.92"
"2013-08-16","87.91"
"2013-08-15","88.16"
"2013-08-14","88.95"
"2013-08-13","89.40"
"2013-08-12","89.89"
"2013-08-09","90.72"
"2013-08-08","91.78"
"2013-08-07","91.34"
"2013-08-06","91.47"
"2013-08-05","91.59"
"2013-08-02","91.95"
"2013-08-01","92.73"
"2013-07-31","93.75"
"2013-07-30","93.81"
"2013-07-29","94.03"
"2013-07-26","94.79"
"2013-07-25","94.97"
"2013-07-24","94.99"
"2013-07-23","95.20"
"2013-07-22","94.83"
"2013-07-19","95.17"
"2013-07-18","94.38"
"2013-07-17","93.46"
"2013-07-16","93.30"
"2013-07-15","93.25"
"2013-07-12","93.40"
"2013-07-11","93.27"
"2013-07-10","92.82"
"2013-07-09","93.34"
"2013-07-08","92.25"
"2013-07-05","91.57"
"2013-07-03","90.69"
"2013-07-02","90.64"
"2013-07-01","90.30"
"2013-06-28","90.35"
"2013-06-27","90.04"
"2013-06-26","89.80"
"2013-06-25","89.11"
"2013-06-24","88.48"
"2013-06-21","89.48"
"2013-06-20","89.05"
"2013-06-19","91.00"
"2013-06-18","91.93"
"2013-06-17","91.51"
"2013-06-14","90.58"
"2013-06-13","91.33"
"2013-06-12","89.74"
"2013-06-11","90.46"
"2013-06-10","91.12"
"2013-06-07","91.45"
"2013-06-06","90.23"
"2013-06-05","89.65"
"2013-06-04","90.79"
"2013-06-03","91.46"
"2013-05-31","90.47"
"2013-05-30","92.09"
"2013-05-29","92.08"
"2013-05-28","92.38"
"2013-05-24","91.53"
"2013-05-23","91.79"
"2013-05-22","92.19"
"2013-05-21","92.80"
"2013-05-20","92.52"
"2013-05-17","91.76"
"2013-05-16","90.70"
"2013-05-15","91.24"
"2013-05-14","91.11"
"2013-05-13","90.10"
"2013-05-10","90.14"
"2013-05-09","91.03"
"2013-05-08","91.70"
"2013-05-07","91.15"
"2013-05-06","90.58"
"2013-05-03","90.02"
"2013-05-02","88.63"
"2013-05-01","87.51"
"2013-04-30","88.99"
"2013-04-29","88.21"
"2013-04-26","88.00"
"2013-04-25","88.07"
"2013-04-24","89.43"
"2013-04-23","89.30"
