"Date","Close"
"2013-12-31","56.42"
"2013-12-30","56.35"
"2013-12-27","56.29"
"2013-12-26","56.58"
"2013-12-24","56.40"
"2013-12-23","55.99"
"2013-12-20","55.45"
"2013-12-19","55.30"
"2013-12-18","55.82"
"2013-12-17","55.71"
"2013-12-16","56.11"
"2013-12-13","55.72"
"2013-12-12","55.74"
"2013-12-11","55.90"
"2013-12-10","55.64"
"2013-12-09","55.28"
"2013-12-06","55.17"
"2013-12-05","55.25"
"2013-12-04","54.90"
"2013-12-03","55.24"
"2013-12-02","55.49"
"2013-11-29","55.65"
"2013-11-27","55.83"
"2013-11-26","56.19"
"2013-11-25","56.55"
"2013-11-22","56.86"
"2013-11-21","56.28"
"2013-11-20","58.92"
"2013-11-19","59.31"
"2013-11-18","59.54"
"2013-11-15","59.91"
"2013-11-14","59.81"
"2013-11-13","59.62"
"2013-11-12","59.29"
"2013-11-11","59.06"
"2013-11-08","58.66"
"2013-11-07","57.91"
"2013-11-06","58.72"
"2013-11-05","58.50"
"2013-11-04","57.96"
"2013-11-01","58.17"
"2013-10-31","58.40"
"2013-10-30","58.57"
"2013-10-29","59.15"
"2013-10-28","59.23"
"2013-10-25","59.70"
"2013-10-24","59.62"
"2013-10-23","59.37"
"2013-10-22","59.47"
"2013-10-21","59.61"
"2013-10-18","59.24"
"2013-10-17","58.99"
"2013-10-16","59.06"
"2013-10-15","58.48"
"2013-10-14","58.86"
"2013-10-11","58.69"
"2013-10-10","58.23"
"2013-10-09","57.66"
"2013-10-08","57.87"
"2013-10-07","58.22"
"2013-10-04","59.21"
"2013-10-03","58.77"
"2013-10-02","58.95"
"2013-10-01","58.45"
"2013-09-30","57.16"
"2013-09-27","57.52"
"2013-09-26","58.09"
"2013-09-25","57.44"
"2013-09-24","58.14"
"2013-09-23","57.88"
"2013-09-20","58.00"
"2013-09-19","58.49"
"2013-09-18","57.82"
"2013-09-17","55.83"
"2013-09-16","55.86"
"2013-09-13","54.87"
"2013-09-12","54.61"
"2013-09-11","54.99"
"2013-09-10","54.37"
"2013-09-09","53.69"
"2013-09-06","53.45"
"2013-09-05","53.97"
"2013-09-04","54.17"
"2013-09-03","52.53"
"2013-08-30","52.70"
"2013-08-29","53.02"
"2013-08-28","53.31"
"2013-08-27","53.51"
"2013-08-26","54.12"
"2013-08-23","53.29"
"2013-08-22","53.13"
"2013-08-21","51.84"
"2013-08-20","52.00"
"2013-08-19","50.91"
"2013-08-16","50.45"
"2013-08-15","51.28"
"2013-08-14","53.02"
"2013-08-13","53.73"
"2013-08-12","52.97"
"2013-08-09","52.92"
"2013-08-08","53.30"
"2013-08-07","53.90"
"2013-08-06","54.25"
"2013-08-05","54.34"
"2013-08-02","54.38"
"2013-08-01","54.43"
"2013-07-31","53.65"
"2013-07-30","53.39"
"2013-07-29","52.94"
"2013-07-26","53.13"
"2013-07-25","52.75"
"2013-07-24","52.88"
"2013-07-23","53.14"
"2013-07-22","53.71"
"2013-07-19","53.55"
"2013-07-18","53.69"
"2013-07-17","53.10"
"2013-07-16","53.17"
"2013-07-15","53.51"
"2013-07-12","53.96"
"2013-07-11","54.17"
"2013-07-10","54.29"
"2013-07-09","52.82"
"2013-07-08","53.26"
"2013-07-05","53.00"
"2013-07-03","52.06"
"2013-07-02","51.95"
"2013-07-01","51.63"
"2013-06-28","50.84"
"2013-06-27","50.33"
"2013-06-26","49.95"
"2013-06-25","49.78"
"2013-06-24","49.62"
"2013-06-21","49.41"
"2013-06-20","49.35"
"2013-06-19","50.16"
"2013-06-18","50.60"
"2013-06-17","50.14"
"2013-06-14","49.12"
"2013-06-13","49.32"
"2013-06-12","48.56"
"2013-06-11","49.83"
"2013-06-10","49.80"
"2013-06-07","49.69"
"2013-06-06","49.28"
"2013-06-05","48.12"
"2013-06-04","48.55"
"2013-06-03","49.17"
"2013-05-31","48.04"
"2013-05-30","49.00"
"2013-05-29","49.77"
"2013-05-28","50.56"
"2013-05-24","50.24"
"2013-05-23","50.19"
"2013-05-22","48.37"
"2013-05-21","49.38"
"2013-05-20","49.47"
"2013-05-17","49.76"
"2013-05-16","49.75"
"2013-05-15","50.28"
"2013-05-14","49.16"
"2013-05-13","49.07"
"2013-05-10","49.28"
"2013-05-09","49.06"
"2013-05-08","49.39"
"2013-05-07","49.50"
"2013-05-06","48.70"
"2013-05-03","48.66"
"2013-05-02","48.42"
"2013-05-01","47.81"
"2013-04-30","47.56"
"2013-04-29","47.79"
"2013-04-26","47.95"
"2013-04-25","48.60"
"2013-04-24","48.18"
"2013-04-23","48.20"
"2013-04-22","47.71"
"2013-04-19","47.47"
"2013-04-18","47.01"
"2013-04-17","47.37"
"2013-04-16","47.73"
"2013-04-15","46.88"
"2013-04-12","47.82"
"2013-04-11","47.28"
"2013-04-10","46.12"
"2013-04-09","45.99"
"2013-04-08","47.03"
"2013-04-05","46.97"
"2013-04-04","47.67"
"2013-04-03","47.26"
"2013-04-02","47.32"
"2013-04-01","47.60"
"2013-03-28","48.43"
"2013-03-27","47.86"
"2013-03-26","48.35"
"2013-03-25","47.02"
"2013-03-22","46.84"
"2013-03-21","46.34"
"2013-03-20","46.16"
"2013-03-19","44.37"
"2013-03-18","44.91"
"2013-03-15","44.24"
"2013-03-14","44.96"
"2013-03-13","45.05"
"2013-03-12","44.64"
"2013-03-11","45.01"
"2013-03-08","45.03"
"2013-03-07","45.10"
"2013-03-06","45.47"
"2013-03-05","46.00"
"2013-03-04","46.48"
"2013-03-01","46.11"
"2013-02-28","45.19"
"2013-02-27","45.39"
"2013-02-26","41.08"
"2013-02-25","40.82"
"2013-02-22","41.89"
"2013-02-21","41.46"
"2013-02-20","40.29"
"2013-02-19","40.40"
"2013-02-15","41.12"
"2013-02-14","39.93"
"2013-02-13","39.72"
"2013-02-12","40.23"
"2013-02-11","40.96"
"2013-02-08","41.06"
"2013-02-07","39.40"
"2013-02-06","39.56"
"2013-02-05","39.59"
"2013-02-04","39.58"
"2013-02-01","40.12"
"2013-01-31","39.99"
"2013-01-30","39.81"
"2013-01-29","40.62"
"2013-01-28","40.98"
"2013-01-25","41.05"
"2013-01-24","41.06"
"2013-01-23","39.96"
"2013-01-22","39.53"
"2013-01-18","38.52"
"2013-01-17","38.98"
"2013-01-16","38.82"
"2013-01-15","38.60"
"2013-01-14","38.04"
"2013-01-11","38.12"
"2013-01-10","38.14"
"2013-01-09","38.18"
"2013-01-08","39.01"
"2013-01-07","39.96"
"2013-01-04","39.62"
"2013-01-03","39.48"
"2013-01-02","39.90"
"2012-12-31","40.56"
"2012-12-28","39.60"
"2012-12-27","39.73"
"2012-12-26","39.72"
"2012-12-24","40.05"
"2012-12-21","40.03"
"2012-12-20","39.99"
"2012-12-19","39.55"
"2012-12-18","40.26"
"2012-12-17","39.47"
"2012-12-14","38.63"
"2012-12-13","38.84"
"2012-12-12","38.65"
"2012-12-11","37.98"
"2012-12-10","39.44"
"2012-12-07","39.82"
"2012-12-06","40.39"
"2012-12-05","40.55"
