"Date","Close"
"2013-12-31","48.24"
"2013-12-30","47.96"
"2013-12-27","47.67"
"2013-12-26","48.03"
"2013-12-24","48.00"
"2013-12-23","47.77"
"2013-12-20","47.62"
"2013-12-19","47.27"
"2013-12-18","47.40"
"2013-12-17","46.44"
"2013-12-16","46.78"
"2013-12-13","46.56"
"2013-12-12","46.61"
"2013-12-11","46.56"
"2013-12-10","47.41"
"2013-12-09","47.57"
"2013-12-06","47.29"
"2013-12-05","46.51"
"2013-12-04","46.76"
"2013-12-03","47.03"
"2013-12-02","47.35"
"2013-11-29","47.35"
"2013-11-27","47.50"
"2013-11-26","47.85"
"2013-11-25","48.05"
"2013-11-22","48.24"
"2013-11-21","48.14"
"2013-11-20","47.58"
"2013-11-19","47.74"
"2013-11-18","47.94"
"2013-11-15","48.07"
"2013-11-14","48.06"
"2013-11-13","48.05"
"2013-11-12","47.87"
"2013-11-11","48.40"
"2013-11-08","48.57"
"2013-11-07","47.74"
"2013-11-06","48.37"
"2013-11-05","48.12"
"2013-11-04","48.29"
"2013-11-01","48.34"
"2013-10-31","48.31"
"2013-10-30","48.93"
"2013-10-29","49.14"
"2013-10-28","48.70"
"2013-10-25","48.81"
"2013-10-24","48.59"
"2013-10-23","48.44"
"2013-10-22","49.20"
"2013-10-21","48.92"
"2013-10-18","49.07"
"2013-10-17","48.76"
"2013-10-16","48.55"
"2013-10-15","48.06"
"2013-10-14","48.56"
"2013-10-11","48.33"
"2013-10-10","48.13"
"2013-10-09","46.49"
"2013-10-08","46.17"
"2013-10-07","46.86"
"2013-10-04","47.06"
"2013-10-03","46.21"
"2013-10-02","47.05"
"2013-10-01","47.16"
"2013-09-30","46.74"
"2013-09-27","46.95"
"2013-09-26","47.34"
"2013-09-25","47.16"
"2013-09-24","47.16"
"2013-09-23","47.10"
"2013-09-20","47.44"
"2013-09-19","47.60"
"2013-09-18","47.42"
"2013-09-17","47.30"
"2013-09-16","47.00"
"2013-09-13","46.23"
"2013-09-12","46.02"
"2013-09-11","46.11"
"2013-09-10","45.73"
"2013-09-09","45.48"
"2013-09-06","44.69"
"2013-09-05","44.81"
"2013-09-04","44.97"
"2013-09-03","44.53"
"2013-08-30","44.46"
"2013-08-29","44.60"
"2013-08-28","45.01"
"2013-08-27","45.07"
"2013-08-26","45.87"
"2013-08-23","45.95"
"2013-08-22","45.93"
"2013-08-21","45.56"
"2013-08-20","45.77"
"2013-08-19","45.67"
"2013-08-16","46.41"
"2013-08-15","46.97"
"2013-08-14","47.53"
"2013-08-13","47.20"
"2013-08-12","46.42"
"2013-08-09","46.18"
"2013-08-08","46.03"
"2013-08-07","45.65"
"2013-08-06","45.92"
"2013-08-05","46.12"
"2013-08-02","46.29"
"2013-08-01","46.57"
"2013-07-31","45.55"
"2013-07-30","45.75"
"2013-07-29","46.06"
"2013-07-26","46.05"
"2013-07-25","46.12"
"2013-07-24","46.16"
"2013-07-23","46.43"
"2013-07-22","46.76"
"2013-07-19","46.51"
"2013-07-18","46.34"
"2013-07-17","45.99"
"2013-07-16","45.66"
"2013-07-15","45.81"
"2013-07-12","45.68"
"2013-07-11","45.45"
"2013-07-10","45.00"
"2013-07-09","45.27"
"2013-07-08","44.99"
"2013-07-05","44.87"
"2013-07-03","44.26"
"2013-07-02","44.50"
"2013-07-01","44.68"
"2013-06-28","44.40"
"2013-06-27","44.51"
"2013-06-26","43.97"
"2013-06-25","43.85"
"2013-06-24","43.22"
"2013-06-21","43.58"
"2013-06-20","43.58"
"2013-06-19","44.65"
"2013-06-18","45.17"
"2013-06-17","44.87"
"2013-06-14","44.58"
"2013-06-13","44.99"
"2013-06-12","44.43"
"2013-06-11","44.78"
"2013-06-10","45.35"
"2013-06-07","45.74"
"2013-06-06","45.11"
"2013-06-05","44.71"
"2013-06-04","45.25"
"2013-06-03","45.82"
"2013-05-31","45.82"
"2013-05-30","46.19"
"2013-05-29","46.18"
"2013-05-28","46.20"
"2013-05-24","45.95"
"2013-05-23","46.06"
"2013-05-22","46.39"
"2013-05-21","46.66"
"2013-05-20","46.71"
"2013-05-17","46.44"
"2013-05-16","46.04"
"2013-05-15","46.28"
"2013-05-14","46.00"
"2013-05-13","45.46"
"2013-05-10","45.45"
"2013-05-09","45.39"
"2013-05-08","45.78"
"2013-05-07","45.64"
"2013-05-06","45.62"
"2013-05-03","45.42"
"2013-05-02","44.93"
"2013-05-01","44.73"
"2013-04-30","44.67"
"2013-04-29","44.53"
"2013-04-26","44.44"
"2013-04-25","45.01"
"2013-04-24","44.51"
"2013-04-23","43.64"
"2013-04-22","42.99"
"2013-04-19","43.18"
"2013-04-18","43.00"
"2013-04-17","43.12"
"2013-04-16","43.39"
"2013-04-15","42.62"
"2013-04-12","43.99"
"2013-04-11","44.00"
"2013-04-10","44.01"
"2013-04-09","43.90"
"2013-04-08","43.97"
"2013-04-05","43.80"
"2013-04-04","44.23"
"2013-04-03","43.93"
"2013-04-02","44.29"
"2013-04-01","43.97"
"2013-03-28","44.07"
"2013-03-27","43.72"
"2013-03-26","43.99"
"2013-03-25","43.80"
"2013-03-22","43.98"
"2013-03-21","43.85"
"2013-03-20","44.01"
"2013-03-19","43.80"
"2013-03-18","44.16"
"2013-03-15","44.60"
"2013-03-14","44.64"
"2013-03-13","43.97"
"2013-03-12","43.96"
"2013-03-11","44.24"
"2013-03-08","43.58"
"2013-03-07","43.22"
"2013-03-06","43.12"
"2013-03-05","43.08"
"2013-03-04","42.85"
"2013-03-01","43.18"
"2013-02-28","43.11"
"2013-02-27","43.06"
"2013-02-26","42.68"
"2013-02-25","42.40"
"2013-02-22","43.68"
"2013-02-21","43.41"
"2013-02-20","43.34"
"2013-02-19","43.92"
"2013-02-15","43.91"
"2013-02-14","44.08"
"2013-02-13","44.08"
"2013-02-12","43.65"
"2013-02-11","43.51"
"2013-02-08","43.85"
"2013-02-07","43.74"
"2013-02-06","43.92"
"2013-02-05","43.81"
"2013-02-04","43.71"
"2013-02-01","44.08"
"2013-01-31","43.37"
"2013-01-30","43.36"
"2013-01-29","43.67"
"2013-01-28","43.32"
"2013-01-25","43.47"
"2013-01-24","43.24"
