"Date","Close"
"2013-12-31","55.01"
"2013-12-30","54.97"
"2013-12-27","54.40"
"2013-12-26","54.16"
"2013-12-24","53.45"
"2013-12-23","53.16"
"2013-12-20","52.49"
"2013-12-19","52.27"
"2013-12-18","52.45"
"2013-12-17","51.53"
"2013-12-16","51.31"
"2013-12-13","51.76"
"2013-12-12","51.48"
"2013-12-11","51.61"
"2013-12-10","52.25"
"2013-12-09","52.41"
"2013-12-06","51.76"
"2013-12-05","52.37"
"2013-12-04","52.07"
"2013-12-03","52.97"
"2013-12-02","53.66"
"2013-11-29","53.82"
"2013-11-27","53.85"
"2013-11-26","53.75"
"2013-11-25","53.59"
"2013-11-22","52.88"
"2013-11-21","52.10"
"2013-11-20","51.90"
"2013-11-19","51.78"
"2013-11-18","52.08"
"2013-11-15","52.73"
"2013-11-14","52.74"
"2013-11-13","52.95"
"2013-11-12","51.25"
"2013-11-11","51.25"
"2013-11-08","50.48"
"2013-11-07","50.60"
"2013-11-06","52.29"
"2013-11-05","52.09"
"2013-11-04","52.24"
"2013-11-01","51.84"
"2013-10-31","51.65"
"2013-10-30","52.25"
"2013-10-29","53.38"
"2013-10-28","52.13"
"2013-10-25","52.05"
"2013-10-24","50.57"
"2013-10-23","50.07"
"2013-10-22","49.99"
"2013-10-21","49.72"
"2013-10-18","47.24"
"2013-10-17","46.83"
"2013-10-16","46.10"
"2013-10-15","45.99"
"2013-10-14","46.52"
"2013-10-11","46.72"
"2013-10-10","46.30"
"2013-10-09","45.99"
"2013-10-08","45.93"
"2013-10-07","46.63"
"2013-10-04","47.43"
"2013-10-03","46.97"
"2013-10-02","47.34"
"2013-10-01","47.62"
"2013-09-30","47.14"
"2013-09-27","47.38"
"2013-09-26","47.67"
"2013-09-25","47.90"
"2013-09-24","48.41"
"2013-09-23","48.52"
"2013-09-20","48.79"
"2013-09-19","49.30"
"2013-09-18","48.67"
"2013-09-17","47.76"
"2013-09-16","47.39"
"2013-09-13","46.82"
"2013-09-12","46.50"
"2013-09-11","47.16"
"2013-09-10","47.17"
"2013-09-09","48.16"
"2013-09-06","47.99"
"2013-09-05","47.56"
"2013-09-04","46.73"
"2013-09-03","46.28"
"2013-08-30","45.58"
"2013-08-29","45.63"
"2013-08-28","45.64"
"2013-08-27","45.56"
"2013-08-26","46.39"
"2013-08-23","46.11"
"2013-08-22","45.26"
"2013-08-21","44.76"
"2013-08-20","45.08"
"2013-08-19","44.89"
"2013-08-16","44.90"
"2013-08-15","45.04"
"2013-08-14","45.45"
"2013-08-13","45.69"
"2013-08-12","45.35"
"2013-08-09","45.96"
"2013-08-08","46.33"
"2013-08-07","45.93"
"2013-08-06","46.26"
"2013-08-05","46.80"
"2013-08-02","46.99"
"2013-08-01","46.96"
"2013-07-31","46.00"
"2013-07-30","46.40"
"2013-07-29","47.15"
"2013-07-26","47.08"
"2013-07-25","47.10"
"2013-07-24","47.12"
"2013-07-23","47.83"
"2013-07-22","46.87"
"2013-07-19","45.38"
"2013-07-18","46.48"
"2013-07-17","46.03"
"2013-07-16","47.16"
"2013-07-15","47.45"
"2013-07-12","47.64"
"2013-07-11","47.28"
"2013-07-10","46.95"
"2013-07-09","47.23"
"2013-07-08","46.71"
"2013-07-05","46.61"
"2013-07-03","46.03"
"2013-07-02","45.91"
"2013-07-01","45.73"
"2013-06-28","44.83"
"2013-06-27","44.63"
"2013-06-26","44.13"
"2013-06-25","43.98"
"2013-06-24","43.85"
"2013-06-21","44.34"
"2013-06-20","43.81"
"2013-06-19","44.88"
"2013-06-18","44.74"
"2013-06-17","44.31"
"2013-06-14","44.09"
"2013-06-13","44.32"
"2013-06-12","43.81"
"2013-06-11","44.70"
"2013-06-10","44.59"
"2013-06-07","45.00"
"2013-06-06","44.18"
"2013-06-05","44.10"
"2013-06-04","44.66"
"2013-06-03","44.81"
"2013-05-31","44.48"
"2013-05-30","44.83"
"2013-05-29","44.45"
"2013-05-28","46.72"
"2013-05-24","47.16"
"2013-05-23","46.97"
"2013-05-22","47.48"
"2013-05-21","48.46"
"2013-05-20","47.70"
"2013-05-17","47.91"
"2013-05-16","47.21"
"2013-05-15","47.61"
"2013-05-14","47.51"
"2013-05-13","47.46"
"2013-05-10","47.51"
"2013-05-09","47.59"
"2013-05-08","47.60"
"2013-05-07","47.46"
"2013-05-06","47.15"
"2013-05-03","47.22"
"2013-05-02","46.81"
"2013-05-01","47.05"
"2013-04-30","47.37"
"2013-04-29","47.65"
"2013-04-26","47.27"
"2013-04-25","47.76"
"2013-04-24","47.28"
"2013-04-23","47.76"
"2013-04-22","46.55"
"2013-04-19","45.02"
"2013-04-18","44.34"
"2013-04-17","43.74"
"2013-04-16","44.33"
"2013-04-15","43.80"
"2013-04-12","44.91"
"2013-04-11","45.06"
"2013-04-10","44.71"
"2013-04-09","43.91"
"2013-04-08","43.25"
"2013-04-05","43.33"
"2013-04-04","43.46"
"2013-04-03","43.03"
"2013-04-02","43.39"
"2013-04-01","43.56"
"2013-03-28","43.94"
"2013-03-27","43.67"
"2013-03-26","43.83"
"2013-03-25","43.67"
"2013-03-22","43.84"
"2013-03-21","42.89"
"2013-03-20","42.24"
"2013-03-19","41.83"
"2013-03-18","42.22"
"2013-03-15","42.38"
"2013-03-14","42.23"
"2013-03-13","41.81"
"2013-03-12","42.15"
"2013-03-11","42.28"
"2013-03-08","41.67"
"2013-03-07","41.06"
"2013-03-06","40.95"
"2013-03-05","40.70"
"2013-03-04","40.08"
"2013-03-01","40.11"
"2013-02-28","40.02"
"2013-02-27","40.52"
"2013-02-26","40.05"
"2013-02-25","40.11"
"2013-02-22","41.13"
"2013-02-21","41.12"
"2013-02-20","41.12"
"2013-02-19","40.91"
"2013-02-15","40.53"
"2013-02-14","40.88"
"2013-02-13","40.42"
"2013-02-12","39.89"
"2013-02-11","39.69"
"2013-02-08","39.84"
"2013-02-07","38.72"
"2013-02-06","38.17"
"2013-02-05","37.89"
"2013-02-04","37.43"
"2013-02-01","37.65"
"2013-01-31","37.37"
"2013-01-30","37.24"
"2013-01-29","37.22"
"2013-01-28","37.02"
"2013-01-25","37.31"
"2013-01-24","38.45"
"2013-01-23","38.12"
"2013-01-22","38.87"
"2013-01-18","39.01"
"2013-01-17","37.94"
"2013-01-16","37.57"
"2013-01-15","37.21"
"2013-01-14","36.56"
"2013-01-11","36.89"
"2013-01-10","37.07"
"2013-01-09","35.68"
"2013-01-08","35.38"
"2013-01-07","35.35"
"2013-01-04","35.74"
"2013-01-03","36.12"
"2013-01-02","35.82"
"2012-12-31","35.90"
"2012-12-28","35.31"
"2012-12-27","35.56"
"2012-12-26","35.39"
"2012-12-24","35.89"
"2012-12-21","36.04"
"2012-12-20","36.60"
"2012-12-19","36.57"
"2012-12-18","36.72"
"2012-12-17","36.75"
"2012-12-14","36.97"
"2012-12-13","37.20"
"2012-12-12","37.77"
"2012-12-11","38.01"
"2012-12-10","37.60"
"2012-12-07","37.46"
"2012-12-06","37.22"
"2012-12-05","37.00"
"2012-12-04","37.32"
"2012-12-03","37.70"
"2012-11-30","38.46"
"2012-11-29","38.60"
"2012-11-28","38.54"
"2012-11-27","38.30"
"2012-11-26","38.32"
"2012-11-23","38.25"
"2012-11-21","37.68"
"2012-11-20","37.26"
"2012-11-19","37.39"
"2012-11-16","36.45"
"2012-11-15","36.34"
"2012-11-14","36.48"
"2012-11-13","36.98"
"2012-11-12","36.95"
"2012-11-09","37.22"
"2012-11-08","37.25"
"2012-11-07","37.21"
"2012-11-06","37.79"
"2012-11-05","36.17"
"2012-11-02","35.58"
"2012-11-01","36.33"
"2012-10-31","35.99"
"2012-10-26","36.35"
"2012-10-25","36.57"
"2012-10-24","36.85"
"2012-10-23","36.78"
"2012-10-22","38.39"
"2012-10-19","39.05"
"2012-10-18","39.05"
"2012-10-17","38.96"
"2012-10-16","38.38"
"2012-10-15","37.75"
"2012-10-12","39.30"
"2012-10-11","37.81"
"2012-10-10","37.32"
"2012-10-09","37.57"
"2012-10-08","38.22"
"2012-10-05","37.76"
"2012-10-04","37.46"
"2012-10-03","37.41"
"2012-10-02","37.80"
"2012-10-01","37.91"
"2012-09-28","38.17"
"2012-09-27","37.65"
"2012-09-26","37.31"
"2012-09-25","37.53"
"2012-09-24","38.10"
"2012-09-21","38.01"
"2012-09-20","38.20"
"2012-09-19","38.40"
"2012-09-18","38.68"
"2012-09-17","38.96"
"2012-09-14","39.96"
"2012-09-13","39.07"
"2012-09-12","38.86"
"2012-09-11","38.56"
"2012-09-10","37.85"
"2012-09-07","37.64"
"2012-09-06","37.95"
"2012-09-05","37.13"
"2012-09-04","37.20"
"2012-08-31","37.51"
"2012-08-30","37.40"
"2012-08-29","37.50"
"2012-08-28","37.50"
"2012-08-27","37.67"
"2012-08-24","37.49"
"2012-08-23","37.29"
"2012-08-22","37.75"
"2012-08-21","37.99"
"2012-08-20","38.12"
"2012-08-17","38.24"
"2012-08-16","38.24"
"2012-08-15","37.72"
"2012-08-14","37.64"
"2012-08-13","37.58"
"2012-08-10","37.56"
"2012-08-09","37.37"
"2012-08-08","37.04"
"2012-08-07","36.80"
"2012-08-06","36.46"
"2012-08-03","36.07"
"2012-08-02","35.36"
"2012-08-01","35.68"
"2012-07-31","35.82"
"2012-07-30","36.31"
"2012-07-27","36.26"
"2012-07-26","35.33"
"2012-07-25","34.71"
"2012-07-24","34.96"
"2012-07-23","35.19"
"2012-07-20","33.84"
"2012-07-19","33.72"
"2012-07-18","33.27"
"2012-07-17","33.26"
"2012-07-16","32.35"
"2012-07-13","32.91"
"2012-07-12","32.88"
"2012-07-11","33.48"
"2012-07-10","33.66"
"2012-07-09","33.98"
"2012-07-06","34.17"
"2012-07-05","34.37"
"2012-07-03","33.86"
"2012-07-02","34.13"
"2012-06-29","33.87"
"2012-06-28","33.03"
"2012-06-27","32.27"
"2012-06-26","32.97"
"2012-06-25","33.16"
"2012-06-22","33.87"
"2012-06-21","33.95"
"2012-06-20","34.54"
"2012-06-19","34.78"
"2012-06-18","34.45"
"2012-06-15","34.50"
"2012-06-14","34.06"
"2012-06-13","33.85"
"2012-06-12","34.32"
"2012-06-11","33.86"
"2012-06-08","34.50"
"2012-06-07","34.87"
"2012-06-06","34.88"
"2012-06-05","34.46"
"2012-06-04","34.54"
"2012-06-01","34.96"
"2012-05-31","35.42"
"2012-05-30","35.29"
"2012-05-29","35.52"
"2012-05-25","34.91"
"2012-05-24","34.59"
"2012-05-23","34.65"
"2012-05-22","34.47"
"2012-05-21","34.41"
"2012-05-18","34.24"
"2012-05-17","34.73"
"2012-05-16","36.15"
"2012-05-15","36.00"
"2012-05-14","35.10"
"2012-05-11","35.68"
"2012-05-10","35.48"
"2012-05-09","35.34"
"2012-05-08","35.93"
"2012-05-07","36.35"
"2012-05-04","36.09"
"2012-05-03","36.98"
"2012-05-02","37.04"
"2012-05-01","36.88"
"2012-04-30","36.74"
"2012-04-27","36.68"
"2012-04-26","36.49"
"2012-04-25","35.63"
"2012-04-24","35.13"
"2012-04-23","34.04"
"2012-04-20","35.92"
"2012-04-19","35.78"
"2012-04-18","36.33"
"2012-04-17","36.59"
"2012-04-16","35.76"
"2012-04-13","36.18"
"2012-04-12","36.26"
"2012-04-11","36.03"
"2012-04-10","35.56"
"2012-04-09","36.17"
"2012-04-05","37.00"
"2012-04-04","36.95"
"2012-04-03","37.34"
"2012-04-02","37.29"
"2012-03-30","36.72"
"2012-03-29","37.14"
"2012-03-28","37.22"
"2012-03-27","37.34"
"2012-03-26","37.10"
"2012-03-23","36.38"
"2012-03-22","35.93"
"2012-03-21","35.74"
"2012-03-20","36.03"
"2012-03-19","36.35"
"2012-03-16","35.45"
"2012-03-15","35.51"
"2012-03-14","35.46"
"2012-03-13","35.68"
"2012-03-12","35.41"
"2012-03-09","35.18"
"2012-03-08","34.86"
"2012-03-07","34.58"
"2012-03-06","34.65"
"2012-03-05","35.65"
"2012-03-02","35.21"
"2012-03-01","35.40"
"2012-02-29","35.32"
"2012-02-28","35.26"
"2012-02-27","35.38"
"2012-02-24","34.86"
"2012-02-23","35.10"
"2012-02-22","34.52"
"2012-02-21","35.65"
"2012-02-17","36.18"
"2012-02-16","35.93"
"2012-02-15","35.48"
"2012-02-14","36.58"
"2012-02-13","36.70"
