"Date","Close"
"2013-12-31","49.91"
"2013-12-30","49.96"
"2013-12-27","49.84"
"2013-12-26","49.70"
"2013-12-24","49.28"
"2013-12-23","49.16"
"2013-12-20","49.30"
"2013-12-19","49.36"
"2013-12-18","49.73"
"2013-12-17","49.58"
"2013-12-16","49.91"
"2013-12-13","49.64"
"2013-12-12","49.57"
"2013-12-11","50.59"
"2013-12-10","50.73"
"2013-12-09","51.44"
"2013-12-06","51.50"
"2013-12-05","50.26"
"2013-12-04","50.71"
"2013-12-03","50.60"
"2013-12-02","50.26"
"2013-11-29","50.43"
"2013-11-27","50.53"
"2013-11-26","50.48"
"2013-11-25","49.88"
"2013-11-22","50.12"
"2013-11-21","49.42"
"2013-11-20","49.24"
"2013-11-19","50.38"
"2013-11-18","50.95"
"2013-11-15","51.31"
"2013-11-14","51.53"
"2013-11-13","50.88"
"2013-11-12","50.46"
"2013-11-11","50.45"
"2013-11-08","50.54"
"2013-11-07","50.40"
"2013-11-06","51.15"
"2013-11-05","50.70"
"2013-11-04","50.46"
"2013-11-01","50.32"
"2013-10-31","50.42"
"2013-10-30","50.64"
"2013-10-29","51.06"
"2013-10-28","50.70"
"2013-10-25","50.06"
"2013-10-24","49.91"
"2013-10-23","50.02"
"2013-10-22","49.65"
"2013-10-21","48.97"
"2013-10-18","49.19"
"2013-10-17","48.97"
"2013-10-16","48.77"
"2013-10-15","47.91"
"2013-10-14","48.34"
"2013-10-11","48.35"
"2013-10-10","48.45"
"2013-10-09","47.68"
"2013-10-08","47.41"
"2013-10-07","47.99"
"2013-10-04","47.95"
"2013-10-03","47.63"
"2013-10-02","48.01"
"2013-10-01","47.98"
"2013-09-30","47.92"
"2013-09-27","48.08"
"2013-09-26","48.52"
"2013-09-25","48.38"
"2013-09-24","48.85"
"2013-09-23","48.64"
"2013-09-20","48.66"
"2013-09-19","48.83"
"2013-09-18","50.15"
"2013-09-17","49.78"
"2013-09-16","49.73"
"2013-09-13","49.25"
"2013-09-12","48.88"
"2013-09-11","48.80"
"2013-09-10","48.71"
"2013-09-09","49.06"
"2013-09-06","49.19"
"2013-09-05","49.10"
"2013-09-04","49.10"
"2013-09-03","49.19"
"2013-08-30","49.32"
"2013-08-29","49.21"
"2013-08-28","48.74"
"2013-08-27","49.14"
"2013-08-26","49.38"
"2013-08-23","49.82"
"2013-08-22","49.30"
"2013-08-21","49.07"
"2013-08-20","49.40"
"2013-08-19","49.50"
"2013-08-16","49.38"
"2013-08-15","50.55"
"2013-08-14","52.05"
"2013-08-13","52.42"
"2013-08-12","52.49"
"2013-08-09","52.42"
"2013-08-08","52.67"
"2013-08-07","52.44"
"2013-08-06","52.61"
"2013-08-05","52.57"
"2013-08-02","52.35"
"2013-08-01","52.73"
"2013-07-31","52.00"
"2013-07-30","51.89"
"2013-07-29","51.83"
"2013-07-26","51.51"
"2013-07-25","51.43"
"2013-07-24","51.06"
"2013-07-23","51.46"
"2013-07-22","51.53"
"2013-07-19","51.68"
"2013-07-18","51.26"
"2013-07-17","51.14"
"2013-07-16","51.15"
"2013-07-15","51.22"
"2013-07-12","51.09"
"2013-07-11","51.03"
"2013-07-10","49.91"
"2013-07-09","49.53"
"2013-07-08","49.30"
"2013-07-05","49.03"
"2013-07-03","48.95"
"2013-07-02","49.17"
"2013-07-01","48.79"
"2013-06-28","48.53"
"2013-06-27","48.34"
"2013-06-26","48.10"
"2013-06-25","48.33"
"2013-06-24","48.32"
"2013-06-21","48.64"
"2013-06-20","48.21"
"2013-06-19","49.18"
"2013-06-18","49.91"
"2013-06-17","49.80"
"2013-06-14","49.29"
"2013-06-13","49.02"
"2013-06-12","48.46"
"2013-06-11","48.33"
"2013-06-10","48.20"
"2013-06-07","48.08"
"2013-06-06","47.40"
"2013-06-05","47.19"
"2013-06-04","47.87"
"2013-06-03","47.50"
"2013-05-31","47.08"
"2013-05-30","47.84"
"2013-05-29","48.18"
"2013-05-28","49.11"
"2013-05-24","48.98"
"2013-05-23","48.85"
"2013-05-22","49.03"
"2013-05-21","49.36"
"2013-05-20","49.13"
"2013-05-17","50.36"
"2013-05-16","50.47"
"2013-05-15","50.93"
"2013-05-14","50.63"
"2013-05-13","50.09"
"2013-05-10","49.91"
"2013-05-09","49.63"
"2013-05-08","49.94"
"2013-05-07","50.76"
"2013-05-06","49.59"
"2013-05-03","50.72"
"2013-05-02","50.45"
"2013-05-01","50.40"
"2013-04-30","50.42"
"2013-04-29","50.21"
"2013-04-26","49.68"
"2013-04-25","49.39"
"2013-04-24","49.34"
"2013-04-23","50.68"
"2013-04-22","50.45"
"2013-04-19","50.34"
"2013-04-18","49.86"
"2013-04-17","49.54"
"2013-04-16","49.86"
"2013-04-15","49.06"
"2013-04-12","49.35"
"2013-04-11","49.25"
"2013-04-10","49.03"
"2013-04-09","48.69"
"2013-04-08","48.70"
"2013-04-05","48.74"
"2013-04-04","49.02"
"2013-04-03","48.27"
"2013-04-02","48.81"
"2013-04-01","48.68"
"2013-03-28","49.31"
"2013-03-27","48.79"
"2013-03-26","48.63"
"2013-03-25","48.08"
"2013-03-22","48.15"
"2013-03-21","47.86"
"2013-03-20","47.61"
"2013-03-19","46.42"
"2013-03-18","46.33"
"2013-03-15","46.24"
"2013-03-14","46.42"
"2013-03-13","46.48"
"2013-03-12","46.27"
"2013-03-11","45.70"
"2013-03-08","46.33"
"2013-03-07","46.46"
"2013-03-06","46.43"
"2013-03-05","46.49"
"2013-03-04","46.45"
"2013-03-01","46.39"
"2013-02-28","46.25"
"2013-02-27","46.28"
"2013-02-26","46.01"
"2013-02-25","45.42"
"2013-02-22","45.67"
"2013-02-21","45.33"
"2013-02-20","45.47"
"2013-02-19","45.43"
"2013-02-15","44.59"
"2013-02-14","44.31"
"2013-02-13","42.98"
"2013-02-12","42.97"
"2013-02-11","42.67"
"2013-02-08","42.60"
"2013-02-07","42.47"
"2013-02-06","42.36"
"2013-02-05","42.13"
"2013-02-04","41.75"
"2013-02-01","42.13"
"2013-01-31","41.94"
"2013-01-30","42.04"
"2013-01-29","41.97"
"2013-01-28","41.74"
"2013-01-25","41.75"
"2013-01-24","41.70"
"2013-01-23","41.51"
"2013-01-22","41.49"
"2013-01-18","41.37"
"2013-01-17","41.15"
"2013-01-16","40.84"
"2013-01-15","40.82"
"2013-01-14","40.93"
"2013-01-11","40.62"
"2013-01-10","41.60"
"2013-01-09","41.23"
"2013-01-08","41.27"
"2013-01-07","41.60"
"2013-01-04","41.77"
"2013-01-03","41.34"
"2013-01-02","41.32"
"2012-12-31","40.42"
"2012-12-28","40.06"
"2012-12-27","40.58"
"2012-12-26","40.70"
"2012-12-24","41.00"
"2012-12-21","41.10"
"2012-12-20","41.57"
"2012-12-19","41.27"
"2012-12-18","41.77"
"2012-12-17","41.73"
"2012-12-14","41.45"
"2012-12-13","41.49"
"2012-12-12","41.28"
"2012-12-11","41.39"
"2012-12-10","41.00"
"2012-12-07","40.94"
"2012-12-06","40.73"
"2012-12-05","40.95"
"2012-12-04","40.63"
"2012-12-03","40.48"
"2012-11-30","40.99"
"2012-11-29","40.80"
"2012-11-28","40.65"
"2012-11-27","40.62"
"2012-11-26","40.45"
"2012-11-23","40.77"
"2012-11-21","40.46"
"2012-11-20","40.42"
"2012-11-19","40.46"
"2012-11-16","39.79"
"2012-11-15","39.87"
"2012-11-14","39.86"
"2012-11-13","39.35"
"2012-11-12","39.20"
"2012-11-09","39.37"
"2012-11-08","39.31"
"2012-11-07","39.72"
"2012-11-06","39.80"
"2012-11-05","39.77"
"2012-11-02","39.81"
"2012-11-01","40.18"
"2012-10-31","40.08"
"2012-10-26","39.85"
"2012-10-25","39.91"
"2012-10-24","39.58"
"2012-10-23","39.48"
"2012-10-22","39.82"
"2012-10-19","39.99"
"2012-10-18","40.50"
"2012-10-17","40.07"
"2012-10-16","39.70"
"2012-10-15","39.30"
"2012-10-12","39.19"
"2012-10-11","39.50"
"2012-10-10","39.58"
"2012-10-09","39.51"
"2012-10-08","39.81"
"2012-10-05","40.05"
"2012-10-04","40.32"
"2012-10-03","40.17"
"2012-10-02","40.12"
"2012-10-01","39.97"
"2012-09-28","39.85"
"2012-09-27","39.89"
"2012-09-26","39.95"
"2012-09-25","40.11"
"2012-09-24","40.23"
"2012-09-21","40.30"
"2012-09-20","40.44"
"2012-09-19","40.02"
"2012-09-18","39.31"
"2012-09-17","38.96"
"2012-09-14","38.89"
"2012-09-13","39.46"
"2012-09-12","39.30"
"2012-09-11","39.29"
"2012-09-10","39.29"
"2012-09-07","39.24"
"2012-09-06","39.32"
"2012-09-05","38.99"
"2012-09-04","39.33"
"2012-08-31","39.33"
"2012-08-30","39.34"
"2012-08-29","39.57"
"2012-08-28","39.44"
"2012-08-27","39.41"
"2012-08-24","39.04"
"2012-08-23","38.33"
"2012-08-22","38.46"
"2012-08-21","38.63"
"2012-08-20","38.81"
"2012-08-17","38.50"
"2012-08-16","38.49"
"2012-08-15","38.35"
"2012-08-14","38.42"
"2012-08-13","38.50"
"2012-08-10","38.63"
"2012-08-09","38.53"
"2012-08-08","38.40"
"2012-08-07","38.34"
"2012-08-06","38.49"
"2012-08-03","38.52"
"2012-08-02","38.02"
"2012-08-01","38.43"
"2012-07-31","38.70"
"2012-07-30","38.74"
"2012-07-27","38.52"
"2012-07-26","38.19"
"2012-07-25","37.96"
"2012-07-24","37.91"
"2012-07-23","38.21"
"2012-07-20","38.78"
"2012-07-19","38.98"
"2012-07-18","39.01"
"2012-07-17","38.85"
"2012-07-16","38.77"
"2012-07-13","39.04"
"2012-07-12","38.82"
"2012-07-11","39.13"
"2012-07-10","38.65"
"2012-07-09","38.46"
"2012-07-06","38.76"
"2012-07-05","39.04"
"2012-07-03","39.02"
"2012-07-02","38.98"
"2012-06-29","38.54"
"2012-06-28","37.80"
"2012-06-27","37.55"
"2012-06-26","38.15"
"2012-06-25","38.43"
"2012-06-22","38.44"
"2012-06-21","38.36"
"2012-06-20","38.72"
"2012-06-19","38.80"
"2012-06-18","38.65"
"2012-06-15","38.46"
"2012-06-14","38.09"
