"Date","Close"
"2013-12-31","140.97"
"2013-12-30","139.93"
"2013-12-27","139.83"
"2013-12-26","139.85"
"2013-12-24","139.40"
"2013-12-23","138.66"
"2013-12-20","137.75"
"2013-12-19","137.20"
"2013-12-18","136.03"
"2013-12-17","133.25"
"2013-12-16","133.09"
"2013-12-13","130.01"
"2013-12-12","129.54"
"2013-12-11","130.66"
"2013-12-10","132.86"
"2013-12-09","131.66"
"2013-12-06","130.48"
"2013-12-05","129.60"
"2013-12-04","129.02"
"2013-12-03","130.03"
"2013-12-02","132.98"
"2013-11-29","132.36"
"2013-11-27","132.63"
"2013-11-26","130.98"
"2013-11-25","130.80"
"2013-11-22","130.37"
"2013-11-21","129.26"
"2013-11-20","128.74"
"2013-11-19","130.00"
"2013-11-18","132.59"
"2013-11-15","132.04"
"2013-11-14","132.49"
"2013-11-13","131.55"
"2013-11-12","130.10"
"2013-11-11","130.10"
"2013-11-08","130.70"
"2013-11-07","128.89"
"2013-11-06","132.48"
"2013-11-05","131.72"
"2013-11-04","129.91"
"2013-11-01","128.85"
"2013-10-31","127.02"
"2013-10-30","125.44"
"2013-10-29","127.90"
"2013-10-28","134.91"
"2013-10-25","135.59"
"2013-10-24","137.86"
"2013-10-23","135.54"
"2013-10-22","138.18"
"2013-10-21","136.91"
"2013-10-18","136.44"
"2013-10-17","133.98"
"2013-10-16","133.29"
"2013-10-15","132.52"
"2013-10-14","134.07"
"2013-10-11","132.31"
"2013-10-10","132.65"
"2013-10-09","129.34"
"2013-10-08","129.47"
"2013-10-07","131.15"
"2013-10-04","133.21"
"2013-10-03","131.76"
"2013-10-02","134.64"
"2013-10-01","132.73"
"2013-09-30","132.87"
"2013-09-27","133.54"
"2013-09-26","134.19"
"2013-09-25","133.70"
"2013-09-24","133.93"
"2013-09-23","133.61"
"2013-09-20","134.57"
"2013-09-19","135.25"
"2013-09-18","133.72"
"2013-09-17","131.96"
"2013-09-16","133.85"
"2013-09-13","133.68"
"2013-09-12","133.05"
"2013-09-11","132.34"
"2013-09-10","131.75"
"2013-09-09","129.38"
"2013-09-06","126.77"
"2013-09-05","127.11"
"2013-09-04","127.00"
"2013-09-03","124.13"
"2013-08-30","123.20"
"2013-08-29","123.44"
"2013-08-28","122.76"
"2013-08-27","122.03"
"2013-08-26","124.57"
"2013-08-23","125.21"
"2013-08-22","126.56"
"2013-08-21","123.43"
"2013-08-20","123.57"
"2013-08-19","123.83"
