"Date","Close"
"2013-12-31","55.91"
"2013-12-30","55.96"
"2013-12-27","55.83"
"2013-12-26","55.75"
"2013-12-24","55.85"
"2013-12-23","55.83"
"2013-12-20","55.02"
"2013-12-19","54.59"
"2013-12-18","55.86"
"2013-12-17","55.39"
"2013-12-16","109.39"
"2013-12-13","107.57"
"2013-12-12","106.75"
"2013-12-11","106.20"
"2013-12-10","108.96"
"2013-12-09","107.92"
"2013-12-06","107.07"
"2013-12-05","105.53"
"2013-12-04","104.30"
"2013-12-03","104.57"
"2013-12-02","106.02"
"2013-11-29","107.17"
"2013-11-27","106.73"
"2013-11-26","105.64"
"2013-11-25","105.75"
"2013-11-22","106.16"
"2013-11-21","106.16"
"2013-11-20","102.53"
"2013-11-19","102.17"
"2013-11-18","103.83"
"2013-11-15","104.32"
"2013-11-14","102.10"
"2013-11-13","100.88"
"2013-11-12","100.42"
"2013-11-11","101.07"
"2013-11-08","101.25"
"2013-11-07","101.08"
"2013-11-06","104.07"
"2013-11-05","102.93"
"2013-11-04","103.00"
"2013-11-01","102.64"
"2013-10-31","103.13"
"2013-10-30","100.79"
"2013-10-29","104.90"
"2013-10-28","106.13"
"2013-10-25","106.27"
"2013-10-24","106.67"
"2013-10-23","105.79"
"2013-10-22","106.55"
"2013-10-21","105.65"
"2013-10-18","105.66"
"2013-10-17","104.66"
"2013-10-16","104.10"
"2013-10-15","101.84"
"2013-10-14","103.00"
"2013-10-11","102.90"
"2013-10-10","101.48"
"2013-10-09","97.98"
"2013-10-08","98.32"
"2013-10-07","101.62"
"2013-10-04","103.49"
"2013-10-03","101.82"
"2013-10-02","102.31"
"2013-10-01","101.54"
"2013-09-30","101.39"
"2013-09-27","101.51"
"2013-09-26","102.00"
"2013-09-25","102.18"
"2013-09-24","102.32"
"2013-09-23","101.20"
"2013-09-20","100.86"
"2013-09-19","101.17"
"2013-09-18","101.17"
"2013-09-17","100.48"
"2013-09-16","100.46"
"2013-09-13","99.09"
"2013-09-12","98.31"
"2013-09-11","99.54"
"2013-09-10","99.49"
"2013-09-09","98.48"
"2013-09-06","97.77"
"2013-09-05","99.28"
"2013-09-04","99.52"
"2013-09-03","96.81"
"2013-08-30","96.58"
"2013-08-29","97.84"
"2013-08-28","96.69"
"2013-08-27","94.75"
"2013-08-26","97.66"
"2013-08-23","98.42"
"2013-08-22","98.75"
"2013-08-21","96.02"
"2013-08-20","96.70"
"2013-08-19","95.45"
"2013-08-16","96.17"
"2013-08-15","96.32"
"2013-08-14","98.48"
