"Date","Close"
"2013-12-31","109.52"
"2013-12-30","108.74"
"2013-12-27","108.27"
"2013-12-26","108.88"
"2013-12-24","108.50"
"2013-12-23","107.93"
"2013-12-20","106.89"
"2013-12-19","106.54"
"2013-12-18","107.43"
"2013-12-17","104.99"
"2013-12-16","104.68"
"2013-12-13","103.79"
"2013-12-12","103.19"
"2013-12-11","103.44"
"2013-12-10","105.59"
"2013-12-09","106.21"
"2013-12-06","105.96"
"2013-12-05","104.03"
"2013-12-04","104.52"
"2013-12-03","105.40"
"2013-12-02","105.27"
"2013-11-29","106.15"
"2013-11-27","106.04"
"2013-11-26","106.35"
"2013-11-25","106.42"
"2013-11-22","106.24"
"2013-11-21","105.93"
"2013-11-20","104.61"
"2013-11-19","105.31"
"2013-11-18","106.18"
"2013-11-15","107.04"
"2013-11-14","107.00"
"2013-11-13","105.98"
"2013-11-12","104.35"
"2013-11-11","105.01"
"2013-11-08","104.96"
"2013-11-07","103.84"
"2013-11-06","104.99"
"2013-11-05","104.91"
"2013-11-04","104.98"
"2013-11-01","103.80"
"2013-10-31","104.07"
"2013-10-30","101.34"
"2013-10-29","102.59"
"2013-10-28","101.74"
"2013-10-25","102.09"
"2013-10-24","101.39"
"2013-10-23","101.30"
"2013-10-22","101.90"
"2013-10-21","102.06"
"2013-10-18","101.59"
"2013-10-17","100.40"
"2013-10-16","98.46"
"2013-10-15","98.25"
"2013-10-14","99.06"
"2013-10-11","98.93"
"2013-10-10","98.60"
"2013-10-09","95.82"
"2013-10-08","95.63"
"2013-10-07","97.21"
"2013-10-04","99.59"
"2013-10-03","99.11"
"2013-10-02","100.40"
"2013-10-01","100.75"
"2013-09-30","99.50"
"2013-09-27","99.72"
"2013-09-26","100.15"
"2013-09-25","99.58"
"2013-09-24","100.42"
"2013-09-23","100.08"
"2013-09-20","100.84"
"2013-09-19","100.98"
"2013-09-18","100.00"
"2013-09-17","99.74"
"2013-09-16","99.59"
"2013-09-13","99.52"
"2013-09-12","98.48"
"2013-09-11","98.95"
"2013-09-10","98.01"
"2013-09-09","96.96"
"2013-09-06","95.89"
"2013-09-05","96.08"
"2013-09-04","94.85"
"2013-09-03","93.45"
"2013-08-30","93.60"
"2013-08-29","94.81"
"2013-08-28","94.16"
"2013-08-27","94.17"
"2013-08-26","95.18"
"2013-08-23","95.67"
"2013-08-22","95.84"
"2013-08-21","95.11"
"2013-08-20","96.24"
"2013-08-19","95.97"
"2013-08-16","98.39"
"2013-08-15","96.21"
"2013-08-14","97.73"
"2013-08-13","98.54"
"2013-08-12","97.70"
"2013-08-09","96.47"
"2013-08-08","96.00"
"2013-08-07","95.51"
"2013-08-06","95.53"
"2013-08-05","95.96"
"2013-08-02","95.80"
"2013-08-01","95.95"
"2013-07-31","94.85"
"2013-07-30","94.87"
"2013-07-29","94.57"
"2013-07-26","94.09"
"2013-07-25","94.67"
"2013-07-24","94.96"
"2013-07-23","95.01"
"2013-07-22","95.47"
"2013-07-19","95.44"
"2013-07-18","95.00"
"2013-07-17","93.11"
"2013-07-16","93.29"
"2013-07-15","94.69"
"2013-07-12","93.26"
"2013-07-11","93.41"
"2013-07-10","91.72"
"2013-07-09","92.35"
"2013-07-08","91.57"
"2013-07-05","92.07"
"2013-07-03","90.62"
"2013-07-02","90.50"
"2013-07-01","91.17"
"2013-06-28","89.38"
"2013-06-27","89.91"
"2013-06-26","88.90"
"2013-06-25","87.80"
"2013-06-24","86.27"
"2013-06-21","88.07"
"2013-06-20","89.01"
"2013-06-19","91.18"
"2013-06-18","92.21"
"2013-06-17","91.87"
"2013-06-14","91.05"
"2013-06-13","90.88"
"2013-06-12","89.16"
"2013-06-11","90.31"
"2013-06-10","91.77"
"2013-06-07","91.82"
"2013-06-06","90.73"
"2013-06-05","90.37"
"2013-06-04","91.61"
"2013-06-03","91.74"
"2013-05-31","91.09"
"2013-05-30","91.47"
"2013-05-29","90.76"
"2013-05-28","91.42"
"2013-05-24","90.23"
"2013-05-23","90.35"
"2013-05-22","90.76"
"2013-05-21","92.28"
"2013-05-20","91.75"
"2013-05-17","91.67"
"2013-05-16","90.84"
"2013-05-15","92.92"
"2013-05-14","91.49"
"2013-05-13","89.11"
"2013-05-10","89.34"
"2013-05-09","89.03"
"2013-05-08","89.28"
"2013-05-07","88.62"
"2013-05-06","87.29"
"2013-05-03","87.25"
"2013-05-02","85.63"
"2013-05-01","84.36"
"2013-04-30","86.20"
"2013-04-29","85.14"
"2013-04-26","84.51"
"2013-04-25","85.09"
"2013-04-24","84.38"
"2013-04-23","82.33"
"2013-04-22","81.97"
"2013-04-19","81.17"
"2013-04-18","80.88"
"2013-04-17","82.51"
"2013-04-16","82.65"
"2013-04-15","81.66"
"2013-04-12","84.87"
"2013-04-11","85.25"
"2013-04-10","84.68"
"2013-04-09","83.10"
"2013-04-08","82.48"
"2013-04-05","81.60"
"2013-04-04","82.03"
"2013-04-03","81.06"
"2013-04-02","81.76"
"2013-04-01","81.87"
"2013-03-28","82.70"
"2013-03-27","81.69"
"2013-03-26","82.56"
"2013-03-25","81.79"
"2013-03-22","81.59"
"2013-03-21","81.24"
"2013-03-20","81.83"
"2013-03-19","81.40"
"2013-03-18","81.18"
"2013-03-15","81.23"
"2013-03-14","81.36"
"2013-03-13","80.80"
"2013-03-12","81.75"
"2013-03-11","82.33"
"2013-03-08","81.97"
"2013-03-07","81.18"
"2013-03-06","81.83"
"2013-03-05","80.60"
"2013-03-04","79.65"
"2013-03-01","79.66"
"2013-02-28","80.27"
"2013-02-27","79.43"
"2013-02-26","77.78"
"2013-02-25","77.06"
"2013-02-22","78.81"
"2013-02-21","77.93"
"2013-02-20","78.94"
"2013-02-19","79.98"
"2013-02-15","79.43"
"2013-02-14","79.17"
"2013-02-13","79.04"
"2013-02-12","78.79"
"2013-02-11","78.39"
"2013-02-08","79.14"
"2013-02-07","77.24"
"2013-02-06","80.98"
"2013-02-05","80.80"
"2013-02-04","80.88"
"2013-02-01","82.08"
"2013-01-31","81.02"
"2013-01-30","81.63"
"2013-01-29","82.51"
"2013-01-28","80.89"
"2013-01-25","81.72"
"2013-01-24","81.60"
"2013-01-23","81.22"
"2013-01-22","81.31"
"2013-01-18","81.04"
"2013-01-17","80.89"
"2013-01-16","80.33"
"2013-01-15","80.35"
"2013-01-14","79.72"
"2013-01-11","79.60"
"2013-01-10","79.50"
"2013-01-09","79.67"
"2013-01-08","79.20"
"2013-01-07","79.65"
"2013-01-04","79.97"
"2013-01-03","80.58"
"2013-01-02","80.86"
"2012-12-31","78.99"
"2012-12-28","77.34"
"2012-12-27","78.14"
"2012-12-26","77.96"
"2012-12-24","78.61"
"2012-12-21","78.22"
"2012-12-20","79.13"
"2012-12-19","78.87"
"2012-12-18","79.79"
"2012-12-17","79.11"
"2012-12-14","77.89"
"2012-12-13","79.00"
"2012-12-12","80.00"
"2012-12-11","79.31"
"2012-12-10","79.72"
"2012-12-07","78.06"
"2012-12-06","78.53"
"2012-12-05","78.34"
"2012-12-04","78.65"
"2012-12-03","78.94"
