"Date","Close"
"2013-12-31","36.76"
"2013-12-30","36.43"
"2013-12-27","36.61"
"2013-12-26","36.20"
"2013-12-24","36.00"
"2013-12-23","36.38"
"2013-12-20","37.29"
"2013-12-19","32.57"
"2013-12-18","32.79"
"2013-12-17","32.10"
"2013-12-16","32.11"
"2013-12-13","31.46"
"2013-12-12","31.51"
"2013-12-11","31.59"
"2013-12-10","32.24"
"2013-12-09","32.41"
"2013-12-06","32.62"
"2013-12-05","32.30"
"2013-12-04","32.26"
"2013-12-03","32.63"
"2013-12-02","33.12"
"2013-11-29","33.23"
"2013-11-27","33.25"
"2013-11-26","32.77"
"2013-11-25","32.71"
"2013-11-22","31.98"
"2013-11-21","31.51"
"2013-11-20","30.51"
"2013-11-19","30.40"
"2013-11-18","30.67"
"2013-11-15","30.65"
"2013-11-14","30.67"
"2013-11-13","31.08"
"2013-11-12","30.67"
"2013-11-11","30.34"
"2013-11-08","30.28"
"2013-11-07","29.38"
"2013-11-06","29.45"
"2013-11-05","29.10"
"2013-11-04","29.46"
"2013-11-01","29.00"
"2013-10-31","28.79"
"2013-10-30","28.99"
"2013-10-29","29.12"
"2013-10-28","29.04"
"2013-10-25","29.07"
"2013-10-24","29.04"
"2013-10-23","28.51"
"2013-10-22","28.41"
"2013-10-21","28.18"
"2013-10-18","28.25"
"2013-10-17","27.52"
"2013-10-16","27.06"
"2013-10-15","26.67"
"2013-10-14","27.29"
"2013-10-11","27.31"
"2013-10-10","27.26"
"2013-10-09","26.46"
"2013-10-08","26.60"
"2013-10-07","26.88"
"2013-10-04","27.12"
"2013-10-03","27.10"
"2013-10-02","27.63"
"2013-10-01","27.87"
"2013-09-30","27.61"
"2013-09-27","27.90"
"2013-09-26","27.94"
"2013-09-25","27.89"
"2013-09-24","28.28"
"2013-09-23","28.21"
"2013-09-20","28.47"
"2013-09-19","29.00"
"2013-09-18","29.31"
"2013-09-17","29.35"
"2013-09-16","29.05"
"2013-09-13","28.67"
"2013-09-12","28.43"
"2013-09-11","29.38"
"2013-09-10","29.50"
"2013-09-09","28.96"
"2013-09-06","28.17"
"2013-09-05","28.06"
"2013-09-04","27.55"
"2013-09-03","27.28"
"2013-08-30","26.94"
"2013-08-29","27.41"
"2013-08-28","26.81"
"2013-08-27","26.65"
"2013-08-26","27.61"
"2013-08-23","27.75"
"2013-08-22","27.55"
"2013-08-21","27.26"
"2013-08-20","27.20"
"2013-08-19","27.25"
"2013-08-16","27.60"
"2013-08-15","27.86"
"2013-08-14","28.31"
"2013-08-13","28.76"
"2013-08-12","27.71"
"2013-08-09","28.00"
"2013-08-08","28.21"
"2013-08-07","28.17"
"2013-08-06","28.46"
"2013-08-05","28.98"
"2013-08-02","28.73"
"2013-08-01","28.60"
"2013-07-31","27.38"
"2013-07-30","27.67"
"2013-07-29","27.65"
"2013-07-26","27.59"
"2013-07-25","27.83"
"2013-07-24","27.92"
"2013-07-23","28.91"
"2013-07-22","28.96"
"2013-07-19","28.54"
"2013-07-18","28.27"
"2013-07-17","27.74"
"2013-07-16","27.73"
"2013-07-15","27.72"
"2013-07-12","27.64"
"2013-07-11","27.74"
"2013-07-10","27.28"
"2013-07-09","26.89"
"2013-07-08","26.31"
"2013-07-05","26.24"
"2013-07-03","25.64"
"2013-07-02","25.62"
"2013-07-01","26.18"
"2013-06-28","26.05"
"2013-06-27","26.38"
"2013-06-26","25.77"
"2013-06-25","25.39"
"2013-06-24","25.27"
"2013-06-21","25.90"
"2013-06-20","26.09"
"2013-06-19","26.90"
"2013-06-18","27.18"
"2013-06-17","27.09"
"2013-06-14","26.50"
"2013-06-13","26.60"
"2013-06-12","26.12"
"2013-06-11","26.65"
"2013-06-10","26.91"
"2013-06-07","26.92"
"2013-06-06","26.47"
"2013-06-05","25.74"
"2013-06-04","26.46"
"2013-06-03","26.83"
"2013-05-31","26.96"
"2013-05-30","27.32"
"2013-05-29","26.94"
"2013-05-28","27.80"
"2013-05-24","27.51"
"2013-05-23","27.15"
"2013-05-22","27.28"
"2013-05-21","28.09"
"2013-05-20","28.20"
"2013-05-17","28.25"
"2013-05-16","27.60"
"2013-05-15","27.61"
"2013-05-14","27.32"
"2013-05-13","27.15"
"2013-05-10","27.13"
"2013-05-09","27.04"
"2013-05-08","26.73"
"2013-05-07","26.90"
"2013-05-06","26.76"
"2013-05-03","25.72"
"2013-05-02","25.57"
"2013-05-01","24.88"
"2013-04-30","25.75"
"2013-04-29","26.14"
"2013-04-26","26.06"
"2013-04-25","26.18"
"2013-04-24","25.76"
"2013-04-23","25.72"
"2013-04-22","25.78"
"2013-04-19","26.35"
"2013-04-18","25.76"
"2013-04-17","25.41"
"2013-04-16","29.35"
"2013-04-15","28.48"
"2013-04-12","29.81"
"2013-04-11","29.94"
"2013-04-10","29.14"
"2013-04-09","28.68"
"2013-04-08","28.97"
"2013-04-05","28.56"
"2013-04-04","28.79"
"2013-04-03","28.52"
"2013-04-02","28.77"
"2013-04-01","29.19"
"2013-03-28","29.81"
"2013-03-27","29.50"
"2013-03-26","29.86"
"2013-03-25","29.69"
"2013-03-22","30.75"
"2013-03-21","30.71"
"2013-03-20","31.21"
"2013-03-19","30.70"
"2013-03-18","30.92"
"2013-03-15","31.05"
"2013-03-14","31.15"
"2013-03-13","30.76"
"2013-03-12","30.66"
"2013-03-11","30.70"
"2013-03-08","30.40"
